Date,Code,Gross_num,PctGrossVsIssuedPct_num
2025-12-23,CEL,373098,0.015419696506038439
2025-12-23,GMD,363115,0.03178727464008235
2025-12-23,POD,361664,0.03661928742599231
2025-12-23,HVN,356144,0.028582832913186036
2025-12-23,SUN,347037,0.03204500433994996
2025-12-23,LIN,347020,0.020761547328435687
2025-12-23,TPG,344381,0.017543343976407076
2025-12-23,RGN,341693,0.029590816603561495
2025-12-23,CLW,341457,0.04790593767059783
2025-12-23,IGO,331145,0.043728915228567894
2025-12-23,SYR,329097,0.025092434574286716
2025-12-23,WHC,327216,0.03951925271587826
2025-12-23,MSB,324956,0.02532847319032798
2025-12-23,DRR,315160,0.05956174342189624
2025-12-23,BOQ,314902,0.04760643104827872
2025-12-23,SGP,314571,0.012986089543008148
2025-12-23,ASB,313633,0.07431177248453567
2025-12-23,WCE,310951,0.09404510118768192
2025-12-23,FFM,310007,0.040651460614321885
2025-12-23,HE8,305625,0.009437301684503803
2025-12-23,GBM,304440,0.006654366203488775
2025-12-23,QUB,304368,0.017193872707717228
2025-12-23,MEI,299015,0.011311262373805229
2025-12-23,AMP,296158,0.011697805415779928
2025-12-23,CMW,292430,0.011166280441523152
2025-12-23,CIA,290617,0.05449910069648421
2025-12-23,RML,285856,0.015263538675801509
2025-12-23,WOW,285392,0.02336216345500006
2025-12-23,DTR,284492,0.00816451333075513
2025-12-23,MAH,282301,0.013099900595262294
2025-12-23,RMX,278200,0.029561263825210432
2025-12-23,TLC,278092,0.01249418346118672
2025-12-23,FBU,272310,0.02533358133468392
2025-12-23,GLL,272300,0.030293943131473464
2025-12-23,DXS,270023,0.025105218024123473
2025-12-23,HLI,269734,0.09899001696831738
2025-12-23,EL8,266896,0.0583960790993988
2025-12-23,ANG,263252,0.04226564137994394
2025-12-23,SLC,262301,0.05096054401624632
2025-12-23,CHN,257155,0.06608874453310028
2025-12-23,GEM,256470,0.033240501561024996
2025-12-23,AMI,253263,0.014963198270769636
2025-12-23,TLX,251854,0.07435433174858432
2025-12-23,STK,247901,0.010834550754531701
2025-12-23,QPM,247756,0.006454220305586095
2025-12-23,AIS,245962,0.02140288993469394
2025-12-23,CAR,242945,0.06419749230370644
2025-12-23,ABB,241263,0.08246163887041155
2025-12-23,USL,241021,0.04098363889319019
2025-12-23,IEL,239810,0.08615839065223174
2025-12-23,PNR,234093,0.05938719908623073
2025-12-23,ASN,233823,0.01444668689656744
2025-12-23,IDX,233528,0.06262035493021319
2025-12-23,FME,229356,0.023931114650210278
2025-12-23,PRN,225996,0.024045192116989814
2025-12-23,ALQ,225970,0.04452237524998224
2025-12-23,LLC,224879,0.03256058653958537
2025-12-23,PNV,223942,0.032415759140270416
2025-12-23,MTM,220802,0.03518273704278258
2025-12-23,RIO,219164,0.05903944702156786
2025-12-23,MAT,210176,0.02223759958892436
2025-12-23,CBA,209626,0.012526484327411444
2025-12-23,GBR,207592,0.019948426736342686
2025-12-23,SEK,202595,0.05671431953496246
2025-12-23,DMP,141520,0.14959492775945507
2025-12-23,DAOR,131103,0.17012272613989934
2025-12-23,WIRE,129327,0.6088268811235703
2025-12-23,USTB,90626,0.12679770579344882
2025-12-23,VHY,90358,0.11660439906413479
2025-12-23,GCQF,85524,0.1869905036792684
2025-12-23,QHAL,73179,0.1728946936433327
2025-12-23,QOZ,67988,0.13966208464046564
2025-12-23,IWLD,66589,0.3051329550098323
2025-12-23,DIFF,57491,0.2918120456536547
2025-12-23,MMKT,56473,0.5843796488154912
2025-12-23,EX20,51985,0.2009090666665636
2025-12-23,DHHF,39017,0.1503217294168802
2025-12-23,LNAS,35661,0.6754062977693088
2025-12-23,AQLT,32855,0.13271236897455851
2025-12-23,VDAL,29423,0.7863340419061017
2025-12-23,BNKS,27016,0.24313962591812974
2025-12-23,ECRD,26453,66.13250000000001
2025-12-23,OZBD,25760,0.11716790971084542
2025-12-23,DRGN,24884,0.49768
2025-12-23,VLUE,24041,0.210681326813
2025-12-23,WBND,22422,4.23056603773585
2025-12-23,WDIV,19608,0.12619066374435656
2025-12-23,ATEC,19499,0.12939995689101388
2025-12-23,HJPN,18689,0.25173777730184355
2025-12-23,EMKT,17680,0.13189465705039233
2025-12-23,ROYL,16847,0.4131371077165438
2025-12-23,EXUS,13936,1.659047619047619
2025-12-23,LPHD,11783,0.16718125424674862
2025-12-23,AINF,11759,0.4355185185185185
2025-12-23,MTUM,11021,0.20988095383190328
2025-12-23,SFIF,10675,0.6655228609440637
2025-12-23,VISM,10507,0.10541647231957275
2025-12-23,IGRO,10371,1.7241350647277973
2025-12-23,MVS,10096,0.10717407049901015
2025-12-23,GLDN,10061,0.1497098878016574
2025-12-23,BBUS,10054,0.21748187398684032
2025-12-23,ALFA,9390,0.8816263988425249
2025-12-23,TOLL,8360,16.72
2025-12-23,SNAS,7257,0.1738133651148888
2025-12-23,QBTC,6747,0.4997777777777778
2025-12-23,IGB,5551,0.15793001575032548
2025-12-23,JPEQ,4372,0.3016093882475819
2025-12-23,CORE,4333,0.22335051546391754
2025-12-23,JHGA,4000,3.999160176362964
2025-12-23,ROBO,3527,0.1263025057815536
2025-12-23,FASI,3085,0.18684354926431487
2025-12-23,ALTB,3000,0.20309654532776397
2025-12-23,GNDQ,2531,0.1466484654927064
2025-12-23,JREG,1893,0.28664185364760464
2025-12-23,JRHG,1475,0.27063524973670405
2025-12-23,IYLD,1401,0.16339316641028362
2025-12-23,GGBL,1259,0.1549235288109773
2025-12-23,GMTL,589,0.11770442400770573
2025-12-23,VGN,198901,0.025435220587459183
2025-12-23,IMD,197091,0.038506232182227255
2025-12-23,WEB,196407,0.05435507595964603
2025-12-23,TYR,196316,0.03698959907853926
2025-12-23,WAF,188103,0.016466624357658916
2025-12-23,ING,187775,0.050520663360268725
2025-12-23,SDR,187014,0.06635135057128512
2025-12-23,VNT,186876,0.0225767944814909
2025-12-23,WOR,185820,0.03648154413171333
2025-12-23,JHX,182341,0.04236566021335763
2025-12-23,AGY,182341,0.011814081044465087
2025-12-23,KCN,181614,0.06860133688032824
2025-12-23,STN,180681,0.03305918537758387
2025-12-23,SHL,180066,0.036433057984925736
2025-12-23,LRV,178678,0.0345255036091284
2025-12-23,CMM,176402,0.038682312236102016
2025-12-23,GDG,170103,0.04256371598338286
2025-12-23,AR1,167837,0.009879688350797522
2025-12-23,WBT,167170,0.07973681252118181
2025-12-23,BSL,167043,0.03813093032861581
2025-12-23,CY5,166288,0.015622331775291464
2025-12-23,MMA,164884,0.06557404170881935
2025-12-23,WES,163356,0.014398018774233455
2025-12-23,CYL,162432,0.06232783481051707
2025-12-23,BKT,161627,0.007525500485976024
2025-12-23,L1G,160713,0.006262018647644185
2025-12-23,RHC,160220,0.06941044542985828
2025-12-23,APE,157913,0.05592526347997954
2025-12-23,3DA,157783,0.016570884389527134
2025-12-23,JDO,157771,0.014073356846498509
2025-12-23,NEC,156534,0.009871215722056946
2025-12-23,DVP,156109,0.047307839837495876
2025-12-23,TCG,155804,0.014799444178683459
2025-12-23,REH,155326,0.02513827670608748
2025-12-23,TCL,154220,0.004951214049338968
2025-12-23,PGC,154131,0.00931133318505737
2025-12-23,WTC,153801,0.045769739538217814
2025-12-23,REG,153630,0.05081003945922283
2025-12-23,DRE,148260,0.002627593632170565
2025-12-23,QBE,144188,0.009547629053866942
2025-12-23,CSL,143103,0.02949656576685009
2025-12-23,NXG,141747,0.09334890177911757
2025-12-23,CGF,140695,0.020341598291202224
2025-12-23,HMC,140361,0.034017365178934486
2025-12-23,NTI,138500,0.013195227465147424
2025-12-23,RWC,136300,0.017783681931184587
2025-12-23,IPX,134446,0.040056101065339265
2025-12-23,IPH,133090,0.050898602026240115
2025-12-23,TTM,132700,0.046315109345313736
2025-12-23,MFG,131364,0.07771676240595912
2025-12-23,PNI,130872,0.05753899806803466
